content_url,term,engagement rate,content_type,content_id
https://giphy.com/gifs/3bXSswmHBH2xXVpDgn,persistent,60.47,GIF,3bXSswmHBH2xXVpDgn
https://giphy.com/gifs/mhtcIHehiIX89pvzqA,opportunity,1.56,GIF,mhtcIHehiIX89pvzqA
https://giphy.com/gifs/mhtcIHehiIX89pvzqA,stud,0.00,GIF,mhtcIHehiIX89pvzqA
https://giphy.com/gifs/ocoEZCX4E5Yic8pcA7,source,0.00,GIF,ocoEZCX4E5Yic8pcA7
https://giphy.com/gifs/WG66KksPH65sFeQvZh,hanger,2.51,GIF,WG66KksPH65sFeQvZh
https://giphy.com/gifs/dI3Su8Rg7fB2EZeDjn,shop,0.54,GIF,dI3Su8Rg7fB2EZeDjn
https://giphy.com/gifs/dI3Su8Rg7fB2EZeDjn,brand,0.00,GIF,dI3Su8Rg7fB2EZeDjn
https://giphy.com/gifs/dI3Su8Rg7fB2EZeDjn,online,0.00,GIF,dI3Su8Rg7fB2EZeDjn
https://giphy.com/gifs/yLea6K1szAt23sQzl4,analysis,0.12,GIF,yLea6K1szAt23sQzl4
https://giphy.com/gifs/yLea6K1szAt23sQzl4,regulators,0.00,GIF,yLea6K1szAt23sQzl4
https://giphy.com/gifs/dCD9oVOzwexXiQYRGY,relations,0.00,GIF,dCD9oVOzwexXiQYRGY
https://giphy.com/gifs/eg4dBeFe6Qkv0y19yF,application,0.24,GIF,eg4dBeFe6Qkv0y19yF
https://giphy.com/gifs/eg4dBeFe6Qkv0y19yF,expertise,0.00,GIF,eg4dBeFe6Qkv0y19yF
https://giphy.com/gifs/9S39nGeHfRgZdGN35l,regulators,0.40,GIF,9S39nGeHfRgZdGN35l
https://giphy.com/gifs/9S39nGeHfRgZdGN35l,donation,0.32,GIF,9S39nGeHfRgZdGN35l
https://giphy.com/gifs/9S39nGeHfRgZdGN35l,testing,0.00,GIF,9S39nGeHfRgZdGN35l
https://giphy.com/gifs/8C659t1uP1iduPlYIQ,welfare,0.00,GIF,8C659t1uP1iduPlYIQ
https://giphy.com/gifs/mK9lwiE1MA1F0xND76,charitable wallet,100.00,GIF,mK9lwiE1MA1F0xND76
https://giphy.com/gifs/mK9lwiE1MA1F0xND76,blockchangegroup,100.00,GIF,mK9lwiE1MA1F0xND76
